S,A_x,xmax_over_xc,crosses_threshold
0.37142857142857144,0.7757142857142857,0.5294789183447972,False
0.3757142857142857,0.7757142857142857,0.5269629016037299,False
0.38,0.7757142857142857,0.524466580853572,False
0.08,0.7885714285714286,0.8064605236877063,False
0.08428571428571428,0.7885714285714286,0.8004374322565829,False
0.08857142857142858,0.7885714285714286,0.7944612195347918,False
0.09285714285714286,0.7885714285714286,0.7886471678105652,False
0.09714285714285714,0.7885714285714286,0.7828778342903786,False
0.10142857142857142,0.7885714285714286,0.7772090830233894,False
0.10571428571428572,0.7885714285714286,0.7716386467444215,False
0.11,0.7885714285714286,0.7661130661785878,False
0.1142857142857143,0.7885714285714286,0.7607245747426569,False
0.11857142857142858,0.7885714285714286,0.755387740962621,False
0.12285714285714286,0.7885714285714286,0.7501184996017276,False
0.12714285714285714,0.7885714285714286,0.7449623735814613,False
0.13142857142857145,0.7885714285714286,0.7398486910474786,False
0.13571428571428573,0.7885714285714286,0.7348213505057982,False
0.14,0.7885714285714286,0.7298788463472918,False
0.1442857142857143,0.7885714285714286,0.7249777624849546,False
0.14857142857142858,0.7885714285714286,0.7201715321430622,False
0.15285714285714286,0.7885714285714286,0.7154324662110692,False
0.15714285714285714,0.7885714285714286,0.7107335531331717,False
0.16142857142857142,0.7885714285714286,0.7061296547145748,False
0.1657142857142857,0.7885714285714286,0.7015840273009294,False
0.17,0.7885714285714286,0.697077130182607,False
0.1742857142857143,0.7885714285714286,0.6926586106951363,False
0.17857142857142858,0.7885714285714286,0.6882967243212896,False
0.18285714285714288,0.7885714285714286,0.6839720553994353,False
0.18714285714285717,0.7885714285714286,0.6797236108601673,False
0.19142857142857145,0.7885714285714286,0.6755361440552909,False
0.19571428571428573,0.7885714285714286,0.6713843385787868,False
0.2,0.7885714285714286,0.6672921508374517,False
0.2042857142857143,0.7885714285714286,0.6632702006922858,False
0.20857142857142857,0.7885714285714286,0.6592823463442374,False
0.21285714285714286,0.7885714285714286,0.6553339338217052,False
0.21714285714285714,0.7885714285714286,0.6514690367493947,False
0.22142857142857142,0.7885714285714286,0.64763668470504,False
0.2257142857142857,0.7885714285714286,0.6438369797382257,False
0.22999999999999998,0.7885714285714286,0.6401049043806805,False
0.23428571428571432,0.7885714285714286,0.6364200678023519,False
0.2385714285714286,0.7885714285714286,0.6327663205246878,False
0.24285714285714288,0.7885714285714286,0.6291520370640049,False
0.24714285714285716,0.7885714285714286,0.625607181162204,False
0.25142857142857145,0.7885714285714286,0.6220919090311406,False
0.2557142857142857,0.7885714285714286,0.6186062272275669,False
0.26,0.7885714285714286,0.6151745449377379,False
0.2642857142857143,0.7885714285714286,0.6117907078525119,False
0.26857142857142857,0.7885714285714286,0.6084349945686361,False
0.27285714285714285,0.7885714285714286,0.6051073714603635,False
0.27714285714285714,0.7885714285714286,0.6018413596212009,False
0.2814285714285714,0.7885714285714286,0.5986090620635524,False
0.28571428571428575,0.7885714285714286,0.5954034430729314,False
0.29000000000000004,0.7885714285714286,0.5922244410094691,False
0.2942857142857143,0.7885714285714286,0.5891090225252432,False
0.2985714285714286,0.7885714285714286,0.58601932376847,False
0.3028571428571429,0.7885714285714286,0.5829548945595872,False
0.30714285714285716,0.7885714285714286,0.5799168749299185,False
0.31142857142857144,0.7885714285714286,0.5769373859814271,False
0.3157142857142857,0.7885714285714286,0.5739818900062184,False
0.32,0.7885714285714286,0.5710503045238852,False
0.3242857142857143,0.7885714285714286,0.568142536395402,False
0.32857142857142857,0.7885714285714286,0.5652894162466696,False
0.3328571428571429,0.7885714285714286,0.5624602624956218,False
0.3371428571428572,0.7885714285714286,0.5596537184600227,False
0.34142857142857147,0.7885714285714286,0.5568696834161161,False
0.34571428571428575,0.7885714285714286,0.5541309807444931,False
0.35000000000000003,0.7885714285714286,0.5514208252427938,False
0.3542857142857143,0.7885714285714286,0.5487320414608856,False
0.3585714285714286,0.7885714285714286,0.5460645246592416,False
