regime,S,m,c_x,t,x,u,x_dot,u_dot,x_accel,u_accel,D_x_cumulative,F_x,F_u
fragile-fast,0.15,1.6,0.7,2.64,2.1630595823653153e-14,0.001266056080025692,1.4224690076264518e-13,0.002787580345192407,1.2408685153214998e-12,0.006158794669852519,3.2509654082092515e-15,2.106593050871905e-12,0.01082972459259219
fragile-fast,0.15,1.6,0.7,2.68,2.930586147867336e-14,0.0013874133653051523,1.9188164137550517e-13,0.003033932131986508,1.6636495161458975e-12,0.0066478134972931405,4.423199867356186e-15,2.8254622362749633e-12,0.011698377841878957
fragile-fast,0.15,1.6,0.7,2.72,3.9642966359527003e-14,0.0015194071521802818,2.584276220213411e-13,0.0032998446718782337,2.226901690654523e-12,0.007170485818044855,6.008918521737266e-15,3.783585006821703e-12,0.012627722944048972
fragile-fast,0.15,1.6,0.7,2.7600000000000002,5.354311394542788e-14,0.001662873716364283,3.47503689647522e-13,0.003586664104600028,2.9760714431714418e-12,0.007728672006517129,8.150643079554382e-15,5.058510005773001e-12,0.013621207647064188
fragile-fast,0.15,1.6,0.7,2.8000000000000003,7.220497584040307e-14,0.0018187061557587115,4.665465473743797e-13,0.0038958109848607134,3.970897955295509e-12,0.008324297666310428,1.1038842113170504e-14,6.752224287475285e-12,0.014682410110834038
fragile-fast,0.15,1.6,0.7,2.84,9.722027446385107e-14,0.0019878574714192365,6.253824655862001e-13,0.00422878289151313,5.289774175282502e-12,0.008959352865808906,1.4927653091724548e-14,8.998626680826196e-12,0.015815038597372457
fragile-fast,0.15,1.6,0.7,2.88,1.3069921176775107e-13,0.0021713437516650558,8.369734325975002e-13,0.004587157006145487,7.0353957652333045e-12,0.009635891065213198,2.015562156243459e-14,1.1973213838959288e-11,0.017022930656557387
fragile-fast,0.15,1.6,0.7,2.92,1.7543478229602436e-13,0.0023702474576152164,1.1183892632068323e-12,0.0049725926487540146,9.342065177548614e-12,0.01035602771541409,2.7173012854275564e-14,1.590561155061859e-11,0.018310051771814165
fragile-fast,0.15,1.6,0.7,2.96,2.3511765710837545e-13,0.0025857208079100393,1.4920718703087768e-12,0.005386833757370578,1.2385118732250824e-11,0.01112193850929597,3.657771913861058e-14,2.1095757937925837e-11,0.019680493430070813
fragile-fast,0.15,1.6,0.7,3.0,3.1461672189232783e-13,0.002818989259819736,1.98747661959881e-12,0.005831711297742417,1.6393071725790157e-11,0.011935857266375078,4.916238801430369e-14,2.7934765116875746e-11,0.021138470580567278
fragile-fast,0.15,1.6,0.7,3.04,4.203447014375445e-13,0.0030713550833556327,2.6431994886304162e-12,0.006309145588397421,2.1663236844594415e-11,0.012800073432135182,6.597617607180547e-14,3.6931763294829904e-11,0.02268831844756556
fragile-fast,0.15,1.6,0.7,3.08,5.607338599341122e-13,0.003344201024382946,3.509728962414193e-12,0.006821148525682828,2.8581772677021942e-11,0.013716929174025895,8.840553046916996e-14,4.8748380416859164e-11,0.024334488662710787
